127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001338
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 200, 0.010057
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 200, 0.007238
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.015176
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 200, 0.004523
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007205
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001248
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 200, 0.003421
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 200, 0.003558
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 200, 0.009753
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 200, 0.004181
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 200, 0.008085
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/static/images/favicon.ico, HTTP/1.1, 200, 0.004226
127.0.0.1, 2015-06-21 20:27:43, GET, /calculando_backend/appadmin/hooks, HTTP/1.1, 200, 0.327066
127.0.0.1, 2015-06-21 20:27:48, GET, /calculando_backend/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.156032
127.0.0.1, 2015-06-21 20:28:08, POST, /calculando_backend/appadmin/insert/db/auth_user, HTTP/1.1, 200, 0.161714
127.0.0.1, 2015-06-21 20:28:14, GET, /calculando_backend/appadmin/index, HTTP/1.1, 200, 0.185971
127.0.0.1, 2015-06-21 20:28:14, GET, /calculando_backend/appadmin/hooks, HTTP/1.1, 200, 0.239758
127.0.0.1, 2015-06-21 20:28:16, GET, /calculando_backend/appadmin/insert/db/score_history, HTTP/1.1, 200, 0.136236
127.0.0.1, 2015-06-21 20:31:05, GET, /calculando_backend/appadmin/insert/db/score_history, HTTP/1.1, 200, 0.355017
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003876
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.001074
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.001905
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002887
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 304, 0.009267
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 304, 0.003689
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 304, 0.004037
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 304, 0.005727
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.008321
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 304, 0.004667
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.007121
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 304, 0.004839
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 304, 0.002113
127.0.0.1, 2015-06-21 20:31:06, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 304, 0.006767
127.0.0.1, 2015-06-21 20:31:13, POST, /calculando_backend/appadmin/insert/db/score_history, HTTP/1.1, 200, 0.787787
127.0.0.1, 2015-06-21 20:31:20, POST, /calculando_backend/appadmin/insert/db/score_history, HTTP/1.1, 200, 0.160484
127.0.0.1, 2015-06-21 20:31:25, POST, /calculando_backend/appadmin/insert/db/score_history, HTTP/1.1, 200, 0.149975
127.0.0.1, 2015-06-21 20:36:35, GET, /calculando_backend/api/score_history.json, HTTP/1.1, 404, 0.064636
127.0.0.1, 2015-06-21 20:36:48, GET, /calculando_backend/api/score_history/1.json, HTTP/1.1, 404, 0.062206
127.0.0.1, 2015-06-21 20:36:58, GET, /calculando_backend/api/index/score_history/1.json, HTTP/1.1, 200, 0.129969
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/default/api/score_history, HTTP/1.1, 200, 0.362650
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002137
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.004981
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.013640
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.002156
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 304, 0.004154
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 304, 0.002061
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.007141
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 304, 0.005176
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 304, 0.010306
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003394
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 304, 0.001645
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 304, 0.001627
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 304, 0.004623
127.0.0.1, 2015-06-21 20:38:45, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 304, 0.003554
127.0.0.1, 2015-06-21 20:39:10, GET, /admin/default/site, HTTP/1.1, 200, 0.190215
127.0.0.1, 2015-06-21 20:39:16, GET, /admin/default/design/calculando_backend, HTTP/1.1, 200, 0.531563
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/appadmin/index, HTTP/1.1, 200, 0.189022
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002040
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002253
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.010677
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.005020
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 304, 0.003633
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 304, 0.006939
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.005405
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 304, 0.005179
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 304, 0.007753
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001373
127.0.0.1, 2015-06-21 20:39:18, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 304, 0.006474
127.0.0.1, 2015-06-21 20:39:19, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 304, 0.002944
127.0.0.1, 2015-06-21 20:39:19, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 304, 0.006323
127.0.0.1, 2015-06-21 20:39:19, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 304, 0.005828
127.0.0.1, 2015-06-21 20:39:19, GET, /calculando_backend/appadmin/hooks, HTTP/1.1, 200, 0.254539
127.0.0.1, 2015-06-21 20:39:20, GET, /calculando_backend/appadmin/select/db, HTTP/1.1, 200, 0.179636
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/default/api/score_history, HTTP/1.1, 200, 0.305402
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.003173
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.007567
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.003693
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.008367
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/jquery.js, HTTP/1.1, 304, 0.007250
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/web2py.js, HTTP/1.1, 304, 0.006670
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/calendar.js, HTTP/1.1, 304, 0.008226
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/css/calendar.css, HTTP/1.1, 304, 0.004078
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.004458
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.003125
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/js/share.js, HTTP/1.1, 304, 0.001835
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/images/gplus-32.png, HTTP/1.1, 304, 0.001479
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/images/twitter.png, HTTP/1.1, 304, 0.007423
127.0.0.1, 2015-06-21 20:40:10, GET, /calculando_backend/static/images/facebook.png, HTTP/1.1, 304, 0.002308
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/default/api/score_history, HTTP/1.1, 200, 160.035995
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.005511
127.0.0.1, 2015-06-21 20:43:03, GET, /calculando_backend/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.010431
